id;codigo_ibge;nome;sigla;id_uf;codigo_tom;area;area_modulo_fiscal
1;41303;Lithuanian Litas Principal;Money Market Account Small Nevada;87059;88342;1181;10082
2;64719;ivory;deposit;59708;80552;77675;32839
3;72495;Generic;white Fiji Dollar;42074;98490;30559;98794
4;27760;Divide;Buckinghamshire invoice;72859;20098;17828;23697
5;97342;Creative Response;South Carolina Developer Devolved;27541;38737;71597;40270
6;64222;Sleek Steel Car Human SAS;compelling Panama New Hampshire;11522;45880;13152;2455
7;21422;Cambridgeshire;overriding Oregon;37084;61313;38894;53287
8;49954;bluetooth Louisiana;bandwidth overriding;4701;91960;70143;67996
9;4105;paradigm Orchestrator;Mobility;75222;48973;32588;9499
10;15940;GB port Extended;e-business back up;54236;70803;14172;96803
