id;codigo;descricao;categoria;id_uf;ic_impeditivo;ic_ativo
1;leverage blue;Toys USB value-added;Internal Serbia;31677;false;true
2;web-enabled;plum HTTP;array;40557;true;true
3;Shoes Station;deposit;Response;6088;false;true
4;functionalities;Auto Loan Account;Gloves Personal Loan Account;67588;false;false
5;Investor;Togo connecting Granite;Somalia productivity virtual;1769;true;true
6;Ohio heuristic web services;Court;synergy Chair Right-sized;10544;true;true
7;green Maine;Zimbabwe hybrid Ergonomic;Rubber;7485;false;false
8;Borders;Realigned User-centric deposit;Computers;77288;false;true
9;Bedfordshire Intranet;index;calculating conglomeration Auto Loan Account;23279;false;false
10;ivory Refined Dynamic;Timor-Leste Solutions framework;Practical didactic;86270;true;false
